District,Category,Bedroom,Bathroom,Direction,House Status,Verification,Land Area (m2),Land Used Area (m2),Length (m),Width (m),Alley Width (m),Price (bil),Price/m2 (mil),Floor,Have Mezzanine,Have Rooftop,Have Basement,Have Attic,Is Land,Near Market,Near School,Near Hospital,Near Center,Near Frontage,Securities Space,Comfortable Space,Have Car Park,Larger Rear,Alley Surface,Urgent Sale
district-1,Ban nha rieng ben hong Chung cu 353 Nguyen Trai Quan 1,2.0,1.0,North,Empty,Pink book,51.5,65.4,7.0,7.1,2.0,5.3,102.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district-1,"Nha hem Trung tam Quan 1, gan cau Ong Lanh, so hong chinh chu!",3.0,3.0,North,Living,Pink book,57.6,171.6,10.57,4.9,2.2,11.5,199.7,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
district-1,"Nha ngay nga tu Co Bac - De Tham, Quan 1 noi that co ban, so hong chinh chu!",2.0,2.0,North,Living,Pink book,20.0,60.0,5.0,4.0,1.5,3.5,175.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
district-1,BAN NHA HEM 1 XET PHUONG CAU KHO QUAN 1 - HEM XE HOI,3.0,3.0,South,Living,Pink book,26.5,106.0,5.1,6.9,4.9,9.5,358.5,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
district-1,Ban nha nguyen can hem xe o to Phuong Ben Nghe Quan 1 ,4.0,4.0,North,Living,Pink book,28.3,38.8,2.87,4.29,4.0,8.5,300.4,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
district-1,"Ban nha mat tien Nguyen Van Nguyen Nguyen, phuong Tan Dinh, Quan 1 ",3.0,3.0,West,Empty,Pink book,23.4,54.0,11.22,3.56,8.0,11.5,491.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district-1,BAN NHA NGUYEN CAN HAI MAT HEM PHUONG CAU KHO QUAN 1,2.0,2.0,South,Empty,Pink book,27.5,64.8,7.2,3.8,4.0,6.2,225.5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
district-1,"Nha 2 mat hem, HEM XE HOI truoc nha, 5p di bo den Sieu thi Coop Mart Cong Quynh, cho Thai Binh, dang cho thue 24 trieu/thang!",8.0,6.0,Unknown,Empty,Pink book,26.4,139.2,8.3,3.2,4.2,7.5,284.1,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
district-1,"Ban nha moi xay, phuong Cau Kho, Quan 1 ",4.0,3.0,North,Empty,Pink book,31.5,126.3,10.18,3.1,3.37,7.1,225.4,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district-1,BAN NHA MAT TIEN PHUONG TAN DINH QUAN 1,6.0,4.0,North,Empty,Red book,100.0,400.0,20.11,5.0,,34.0,340.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
